begin,start,commence,initiate
attempt,try,endeavor,strive
significant,important,notable,considerable
demonstrate,show,illustrate,prove
utilize,use,employ
acquire,obtain,gain,procure
sufficient,enough,adequate,ample
nevertheless,however,nonetheless
substantial,considerable,sizable
indicate,suggest,signal,denote
particular,specific,certain,distinct
occur,happen,transpire
construct,build,assemble,erect
preliminary,initial,early,opening
subsequent,following,later,ensuing
fundamental,basic,essential,core
diminish,reduce,decrease,lessen
encompass,include,cover,contain
apparent,obvious,clear,evident
emphasize,stress,highlight,underscore
investigate,examine,explore,probe
determine,decide,establish,ascertain
maintain,preserve,sustain,retain
develop,create,evolve,formulate
require,need,necessitate
provide,supply,furnish,offer
consider,contemplate,ponder,weigh
explain,clarify,elucidate,describe
suggest,propose,recommend,advise
analyze,examine,assess,evaluate
contribute,donate,provide,add
accomplish,achieve,attain,complete
recognize,acknowledge,identify,perceive
establish,create,found,institute
ultimate,final,eventual,supreme
practical,useful,functional,viable
relevant,pertinent,applicable,germane
appropriate,suitable,fitting,proper
remarkable,notable,exceptional,striking
intricate,complex,elaborate,complicated
abundant,plentiful,copious,ample
deliberate,intentional,planned,considered
elaborate,detailed,intricate,thorough
profound,deep,intense,significant
inevitable,unavoidable,certain,inescapable
adjacent,nearby,neighboring,bordering
ambiguous,unclear,vague,equivocal
arbitrary,random,whimsical,capricious
beneficial,helpful,advantageous,useful
candid,frank,honest,straightforward
coherent,logical,consistent,rational
compelling,convincing,persuasive,gripping
concise,brief,succinct,terse
confidential,private,secret,classified
contradict,refute,oppose,dispute
controversial,debatable,disputed,contested
convincing,persuasive,compelling,credible
crucial,vital,essential,critical
decisive,conclusive,definitive,final
delicate,fragile,sensitive,subtle
demonstrate,exhibit,reveal,display
deplete,exhaust,drain,reduce
discrepancy,difference,inconsistency,disparity
dispute,argue,contest,challenge
disregard,ignore,overlook,dismiss
dominant,prevailing,leading,prominent
dubious,doubtful,suspicious,questionable
durable,lasting,sturdy,robust
elaborate,intricate,detailed,complex
eloquent,articulate,expressive,fluent
endure,withstand,survive,tolerate
enhance,improve,augment,boost
enormous,huge,immense,vast
equivalent,equal,comparable,identical
essential,vital,crucial,necessary
evaluate,assess,appraise,judge
exceptional,extraordinary,remarkable,outstanding
exhaustive,thorough,comprehensive,complete
expand,enlarge,broaden,extend
explicit,clear,definite,unambiguous
extensive,wide,broad,comprehensive
fluctuate,vary,waver,oscillate
formidable,daunting,intimidating,impressive
fragile,delicate,brittle,frail
gradual,slow,steady,progressive
hostile,aggressive,unfriendly,antagonistic
hypothetical,theoretical,supposed,conjectural
identical,same,matching,indistinguishable
imminent,impending,looming,approaching
inconsistent,erratic,unreliable,uneven
inevitable,unavoidable,certain,predestined
influential,powerful,important,significant
inherent,intrinsic,innate
innovative,creative,original,inventive
integrate,combine,merge,unify
intelligible,understandable,clear,coherent
intense,strong,fierce,severe
intriguing,fascinating,interesting,captivating
invaluable,priceless,precious,indispensable
investigate,examine,probe,scrutinize
irrelevant,unrelated,immaterial,extraneous
legitimate,valid,lawful,justified
liberate,free,release,emancipate
luxurious,lavish,opulent,sumptuous
mandatory,required,compulsory,obligatory
manipulate,influence,handle,control
meticulous,careful,thorough,precise
monotonous,boring,repetitive,tedious
notorious,infamous,renowned
obstacle,barrier,impediment,hindrance
obsolete,outdated,antiquated,archaic
omit,exclude,skip
oppose,resist,counter,contest
optimal,best,ideal,perfect
overwhelming,immense,crushing,staggering
peculiar,strange,odd,unusual
perceive,notice,sense,detect
perpetual,constant,endless,continuous
persistent,relentless,tenacious,enduring
persuade,convince,sway,influence
plausible,believable,credible,reasonable
precarious,risky,uncertain,unstable
preceding,previous,prior,former
predominant,prevailing,main,principal
preliminary,introductory,opening,initial
prestigious,esteemed,respected,renowned
prevalent,widespread,common,prevailing
prolong,extend,lengthen,protract
prominent,notable,famous,distinguished
prosperous,wealthy,affluent,thriving
provoke,incite,instigate,stimulate
quintessential,classic,typical,archetypal
rampant,widespread,uncontrolled,prevalent
reciprocal,mutual,shared,joint
reconcile,resolve,settle,harmonize
redundant,superfluous,unnecessary,excessive
refute,disprove,rebut,contradict
reliable,dependable,trustworthy,consistent
reluctant,hesitant,unwilling,disinclined
rigorous,strict,severe,exacting
robust,strong,sturdy,vigorous
salient,prominent,notable,striking
scrutinize,examine,inspect,study
seamless,smooth,continuous,unified
simultaneous,concurrent,coinciding,parallel
spontaneous,impromptu,unplanned,impulsive
stagnant,inactive,still,motionless
striking,notable,impressive,remarkable
substantial,considerable,significant,sizable
subtle,faint,slight,delicate
superficial,shallow,cursory,surface
synthesize,combine,integrate,blend
tangible,concrete,real,palpable
tedious,boring,monotonous,wearisome
tenacious,persistent,determined,resolute
tentative,provisional,uncertain,hesitant
thorough,complete,exhaustive,detailed
thrive,flourish,prosper,succeed
transient,fleeting,temporary,brief
trivial,minor,insignificant,unimportant
ubiquitous,widespread,everywhere,pervasive
unanimous,united,collective,undisputed
underlying,fundamental,basic,essential
undermine,weaken,erode,subvert
unprecedented,unmatched,unequaled,novel
versatile,adaptable,flexible,multifaceted
viable,feasible,workable,practical
vibrant,lively,energetic,dynamic
vigilant,watchful,alert,attentive
vital,essential,crucial,necessary
volatile,unstable,unpredictable,explosive
warrant,justify,merit,deserve
widespread,prevalent,extensive,pervasive
yield,produce,generate,provide
# General-purpose vocabulary follows
think,believe,suppose,reckon
believe,think,suppose,hold
know,understand,realize,grasp
understand,grasp,comprehend,realize
recognize,identify,acknowledge,perceive
realize,understand,grasp,recognize
say,state,declare,remark
